GID_0,year,rainy_months,stunting_rate,hot_months,rainy_months1,rainy_months2,hot_months1,hot_months2,GDP,laggedGDP,laggedGDP2
GNB,2006,1,31.7,0,1,0,1,0,42.26040256,44.35828842,41.99168143
GNQ,2006,0,32.8,2,1,1,2,2,1.518255278,NA,NA
KEN,2006,3,36,2,0,1,5,1,20.5196878,24.2362747,24.92904109
LBR,2006,1,40.7,0,0,1,3,0,63.81802502,66.03272919,65.04740245
LSO,2006,2,41.7,0,0,1,1,2,4.842764809,5.671130405,5.984006756
MDG,2006,0,51.5,4,0,1,1,0,30.18227172,30.76273393,31.42050528
MLI,2006,1,35.4,0,1,1,1,1,29.79050883,32.37848184,30.01550987
MOZ,2006,1,45.1,1,0,0,5,0,23.9025048,22.76743048,22.38418555
MRT,2006,0,31,2,0,0,1,1,16.60714389,20.07019672,22.91789922
MWI,2006,1,51.9,0,0,1,6,0,30.86732465,32.91457648,34.71394761
NAM,2006,3,28.2,0,0,1,0,1,9.646471039,10.36848875,8.939778917
NER,2006,1,50.7,1,1,1,2,0,39.74507858,39.28052013,37.37172856
NGA,2006,2,40.3,4,0,1,2,1,24.73499126,26.08928283,27.2304536
RWA,2006,3,49.7,4,0,1,8,1,30.04198743,33.79410695,33.91255785
SEN,2006,0,21.3,1,1,1,1,0,13.39515159,15.18039641,14.20179954
SLE,2006,1,39.2,1,0,1,3,0,50.29408713,49.39145138,48.48605626
SOM,2006,2,32.6,0,0,0,2,1,NA,NA,NA
STP,2006,0,23.4,1,0,0,1,1,8.765243075,8.723964732,9.864626461
SWZ,2006,4,34,2,1,1,2,1,11.18421584,10.9717566,9.659472724
SYC,2006,1,8.6,0,1,1,0,0,2.980658674,3.254551734,3.457136596
TCD,2006,1,41.2,2,1,0,3,0,55.77192044,53.81412435,22.89717623
TGO,2006,1,31.2,2,0,1,2,1,33.64337311,36.55005838,31.11188892
TZA,2006,3,43.1,3,0,1,11,1,23.66931073,24.64884108,25.69697633
UGA,2006,1,39.5,3,0,1,6,1,24.03493298,25.07493613,21.67035264
ZMB,2006,2,49,1,0,1,5,0,13.20627106,14.58855137,15.58094288
ZWE,2006,1,34.6,1,1,0,2,0,19.23011578,17.14823974,18.06379683
AGO,2007,0,33.1,3,0,0,1,3,5.242278337,5.191280189,5.060402948
BDI,2007,1,59.2,0,2,0,4,9,34.93417192,40.63768227,40.84812339
BEN,2007,1,35.9,2,0,0,4,3,26.97108697,26.63180343,26.6894285
BFA,2007,1,40.7,2,1,1,0,3,21.83948741,25.22897616,26.77091903
BWA,2007,1,27.8,2,3,0,0,3,2.240732656,2.048364708,1.828380524
CAF,2007,1,42.6,0,1,1,3,3,NA,NA,NA
CIV,2007,0,33.7,1,0,0,1,5,15.57874633,15.94479491,16.06518536
CMR,2007,2,35.5,0,1,0,3,3,15.85753191,15.6250818,16.73417685
COD,2007,1,44.6,1,2,0,3,9,21.6022053,21.21006065,21.57938225
COG,2007,3,28.3,1,1,1,3,6,4.919811081,4.813146418,6.104237867
COM,2007,1,37.5,2,0,0,0,3,28.95664626,29.37634063,29.37627389
ERI,2007,1,48,1,1,1,0,1,24.26598059,24.5999999,22.60000021
ETH,2007,2,48.1,0,2,0,1,2,42.26501219,42.52417012,41.17449856
GAB,2007,1,21.9,2,1,1,2,3,4.957830803,4.911200315,4.984638611
GHA,2007,3,28.2,0,1,0,3,2,27.29411448,28.94894567,37.45301293
GIN,2007,1,35.6,1,1,0,0,3,16.81970923,15.58456342,22.28106496
GMB,2007,1,25.6,0,2,1,0,2,23.56619704,25.60022584,32.09063281
GNB,2007,1,31.4,0,1,1,0,1,43.17569289,42.26040256,44.35828842
GNQ,2007,0,31.7,1,0,1,2,2,1.372884044,1.518255278,NA
KEN,2007,0,34.9,0,3,0,2,5,20.58666446,20.5196878,24.2362747
LBR,2007,1,39.9,0,1,0,0,3,65.59815004,63.81802502,66.03272919
LSO,2007,1,41.4,1,2,0,0,1,5.392479304,4.842764809,5.671130405
MDG,2007,1,50.7,2,0,0,4,1,28.06701329,30.18227172,30.76273393
MLI,2007,1,34.6,0,1,1,0,1,31.35287468,29.79050883,32.37848184
MOZ,2007,2,44.4,1,1,0,1,5,23.76611914,23.9025048,22.76743048
MRT,2007,1,30,0,0,0,2,1,18.43251928,16.60714389,20.07019672
MWI,2007,1,50.8,1,1,0,0,6,27.51127902,30.86732465,32.91457648
NAM,2007,0,27.7,3,3,0,0,0,8.440713665,9.646471039,10.36848875
NER,2007,1,50.3,0,1,1,1,2,37.09450644,39.74507858,39.28052013
NGA,2007,1,39.9,0,2,0,4,2,24.66257721,24.73499126,26.08928283
RWA,2007,1,48.8,0,3,0,4,8,26.08351546,30.04198743,33.79410695
SEN,2007,1,20.8,0,0,1,1,1,12.24591057,13.39515159,15.18039641
SLE,2007,1,39.1,0,1,0,1,3,52.17604718,50.29408713,49.39145138
SOM,2007,0,32.5,2,2,0,0,2,NA,NA,NA
STP,2007,2,22.5,1,0,0,1,1,9.42166267,8.765243075,8.723964732
SWZ,2007,0,33.5,1,4,1,2,2,10.75417526,11.18421584,10.9717566
SYC,2007,0,8.4,2,1,1,0,0,2.746664742,2.980658674,3.254551734
TCD,2007,0,40.9,0,1,1,2,3,54.67325498,55.77192044,53.81412435
TGO,2007,3,30.5,2,1,0,2,2,29.13972393,33.64337311,36.55005838
TZA,2007,0,42.6,0,3,0,3,11,23.24548824,23.66931073,24.64884108
UGA,2007,0,38.7,1,1,0,3,6,22.27811368,24.03493298,25.07493613
ZMB,2007,2,47.9,1,2,0,1,5,12.10559624,13.20627106,14.58855137
ZWE,2007,1,34.4,1,1,1,1,2,21.19768854,19.23011578,17.14823974
AGO,2008,0,32.3,0,0,0,3,1,4.805339317,5.242278337,5.191280189
BDI,2008,0,58.5,0,1,2,0,4,38.0048233,34.93417192,40.63768227
BEN,2008,3,35.6,0,1,0,2,4,26.82615619,26.97108697,26.63180343
BFA,2008,2,39.7,0,1,1,2,0,27.31428025,21.83948741,25.22897616
BWA,2008,1,27.2,1,1,3,2,0,2.526018242,2.240732656,2.048364708
CAF,2008,1,42.3,1,1,1,0,3,NA,NA,NA
CIV,2008,1,33.2,1,0,0,1,1,16.18548418,15.57874633,15.94479491
CMR,2008,1,34.8,2,2,1,0,3,16.00119189,15.85753191,15.6250818
COD,2008,0,44.2,0,1,2,1,3,22.61867976,21.6022053,21.21006065
COG,2008,2,27.2,0,3,1,1,3,4.248150972,4.919811081,4.813146418
COM,2008,2,36.7,1,1,0,2,0,29.13891501,28.95664626,29.37634063
ERI,2008,0,48.5,2,1,1,1,0,16.77630738,24.26598059,24.5999999
ETH,2008,2,46.9,0,2,2,0,1,45.18455837,42.26501219,42.52417012
GAB,2008,1,20.7,1,1,1,2,2,4.229842032,4.957830803,4.911200315
GHA,2008,2,27.1,0,3,1,0,3,29.40809676,27.29411448,28.94894567
GIN,2008,1,35.4,0,1,1,1,0,15.98000719,16.81970923,15.58456342
GMB,2008,1,25,0,1,2,0,0,29.77571152,23.56619704,25.60022584
GNB,2008,1,31.2,0,1,1,0,0,46.66771695,43.17569289,42.26040256
GNQ,2008,0,30.3,3,0,0,1,2,0.89269612,1.372884044,1.518255278
KEN,2008,0,33.6,1,0,3,0,2,22.19634016,20.58666446,20.5196878
